Trial ID,SNR Value[dB],Start Search Window [ms],End Search Window[ms],Number of independent components,All SNR values,Number of excluded ICs,Indices of excluded ICs,Percentage of remaining ICs [%],Excluded ICs SNR values [dB],Number of used ICs,Indices of used ICs,Used ICs SNR values [dB],Highest SNR [dB],Mean SNR [dB],Mean peak time in seconds after stimulus of excluded ICs [s],All peak times in seconds after stimulus [s],Excluded peak times in seconds after stimulus [s],Mean SNR of remaining ICs [dB],Mean SNR of excluded ICs [dB]
123,9.5,-5.0,12.0,20,"[8.378, -17.252, 7.761, 2.651, 10.658, 5.425, -3.483, 5.825, 8.08, 3.998, 9.059, -22.671, 5.668, 6.57, 6.662, 8.322, 9.933, 5.073, 2.181, 13.557]",3,"[4, 16, 19]",85.0,"[10.658, 9.933, 13.557]",17,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18]","[8.378, -17.252, 7.761, 2.651, 5.425, -3.483, 5.825, 8.08, 3.998, 9.059, -22.671, 5.668, 6.57, 6.662, 8.322, 5.073, 2.181]",13.557,3.82,0.00633,"[0.009, 0.006, 0.006, -0.001, 0.01, 0.008, -0.003, -0.004, 0.01, 0.008, 0.011, 0.007, 0.008, -0.003, -0.001, -0.004, 0.008, 0.011, 0.011, 0.001]","[0.01, 0.008, 0.001]",2.485,11.383
123,9.5,-5.0,12.0,20,"[10.676, 2.595, -0.805, 7.417, 5.305, -9.663, 1.785, 1.249, 6.745, 4.911, -1.017, 3.606, 8.665, 8.629, -7.921, 10.987, 5.257, 2.145, -24.301, 6.252]",2,"[0, 15]",90.0,"[10.676, 10.987]",18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]","[2.595, -0.805, 7.417, 5.305, -9.663, 1.785, 1.249, 6.745, 4.911, -1.017, 3.606, 8.665, 8.629, -7.921, 5.257, 2.145, -24.301, 6.252]",10.987,2.126,0.004,"[-0.002, -0.003, 0.005, -0.005, 0.011, -0.005, 0.007, -0.005, -0.002, 0.011, -0.005, 0.002, -0.005, 0.004, -0.003, 0.01, -0.001, -0.004, 0.003, -0.003]","[-0.002, 0.01]",1.159,10.832
